subjects,repetition,segment,lag,RMSE,correlation,lagCorr,lagRMSE,segmentLength,FB,FF,MI,VMD,samEnt,pupil_size,PSD,repeated
4,27,2,11,-0.441972302617579,0.634506646528702,0.762879440095448,0.213032087125912,545,0.367576153960582,-0.070143855329705,0.557828034399958,0.557828034399958,0.055259118208051,0.461244940826486,-0.827009194633208,1
4,27,3,16,-0.106124421876846,0.3755962542151,0.529310827082518,0.244835178615849,291,-0.385841342491608,-1.12791269382599,0.221323672536312,0.221323672536312,0.086310650600154,-0.404702338036017,0.687697956286933,0
4,27,4,9,-0.610316196732007,0.6722416466817,0.785792746687449,0.206395819928788,545,0.642192943662084,-0.141145417468489,0.553056155198325,0.553056155198325,-0.1319727690852,-0.157135789377919,-0.832403676639638,1
4,27,5,16,1.3499417621933,0.326313601970857,0.573882609565326,0.315001385059683,353,-1.12537530439123,-0.798410177949323,0.272773691055124,0.272773691055124,0.087300179987741,0.089371665383621,0.099917749603602,0
4,28,1,16,1.29058933690068,0.400425612144889,0.640367476924699,0.270744833883363,355,0.663629130160626,-1.23240639945989,0.249654624383088,0.249654624383088,-0.154377816280547,NA,0.969011282720996,0
4,28,2,9,-0.488021967432007,0.723274707089383,0.818694253234762,0.222539643505844,545,0.242191741995305,1.00086083121818,0.849881099337058,0.849881099337058,0.108620745934871,0.17789638308344,-0.703688006608531,1
4,28,3,13,-0.161565900421346,0.515483725264046,0.510173740923273,0.279945458459495,472,0.123782580586319,-0.851739314453413,0.326324855227545,0.326324855227545,0.039112586384764,-0.341151753786809,-1.10035905339406,0
4,28,4,13,-0.606598209723071,0.681346793249196,0.82747462152214,0.185286889474144,545,1.49537077362674,0.585307491910681,0.80255413546246,0.80255413546246,-0.126252317263876,0.324131622267437,-0.652880359282887,1
4,28,5,6,1.42538759062985,-0.217121215003426,-0.06581552656112,0.361039396489811,231,0.633032101944194,-1.62799578185954,0.137567553132529,0.137567553132529,0.124396584832952,-0.667311493806201,2.40302426947975,0
4,29,1,15,0.226715881709899,0.578568056577983,0.839994432234884,0.209437685132647,490,0.858090520433704,0.138490283158273,0.642931782725334,0.642931782725334,-0.12444319687295,NA,0.498659542444893,0
4,29,2,12,-0.559246544250061,0.683125968474774,0.834062322101752,0.195417313131544,545,0.816261845835623,0.740850336772631,0.808761623421582,0.808761623421582,0.083719569079234,-0.033961221217759,-0.664834048483801,1
4,29,3,14,0.016251530741467,0.37909001203751,0.55648172701009,0.253811805276917,409,0.079661235607638,-1.16834040364957,0.235542842459111,0.235542842459111,-0.038089094776057,0.560136449789113,-1.27504917812435,0
4,29,4,9,-0.506623216308003,0.69289792345683,0.842645244963865,0.200899784763014,545,0.370720794824601,0.585460708547536,0.740982540356698,0.740982540356698,-0.00235993858277,-0.465871765202895,-0.622063173500815,1
